"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 17 17:25:07 CST 2024","Sat Feb 17 17:25:07 CST 2024","0","testcase.t_fixture","test_fix3_params","","","","test_init_data[你好]",""
"passed","Sat Feb 17 17:25:07 CST 2024","Sat Feb 17 17:25:07 CST 2024","0","testcase.t_fixture","test_fix3_params","","","","test_init_data[大家好]",""
"passed","Sat Feb 17 17:25:07 CST 2024","Sat Feb 17 17:25:07 CST 2024","0","testcase.t_fixture","test_fix3_params","","","","test_init_data[我好]",""
